id_ccbh,interpro_go_id
PA4851_01335,F:GO:0016620
PA4851_01335,P:GO:0055114
PA4851_01340,F:GO:0003824
PA4851_01340,F:GO:0003867
PA4851_01340,F:GO:0008483
PA4851_01340,P:GO:0009448
PA4851_01340,F:GO:0030170
PA4851_01345,P:GO:0000160
PA4851_01350,F:GO:0003700
PA4851_01350,F:GO:0003824
PA4851_01350,P:GO:0006355
PA4851_01350,P:GO:0009058
PA4851_01350,F:GO:0030170
PA4851_01355,F:GO:0051920
PA4851_01355,P:GO:0055114
PA4851_01360,no GO terms
PA4851_01365,no GO terms
PA4851_01370,F:GO:0003700
PA4851_01370,P:GO:0006355
PA4851_01375,C:GO:0016021
PA4851_01375,P:GO:0055085
PA4851_01380,no IPS match
PA4851_01385,F:GO:0003677
PA4851_01385,P:GO:0006355
PA4851_01390,no GO terms
PA4851_01395,F:GO:0004222
PA4851_01395,P:GO:0006508
PA4851_01400,C:GO:0016021
PA4851_01405,F:GO:0003700
PA4851_01405,P:GO:0006355
PA4851_01410,F:GO:0005524
PA4851_01410,P:GO:0008272
PA4851_01410,F:GO:0015419
PA4851_01410,C:GO:0016020
PA4851_01410,F:GO:0016887
PA4851_01410,C:GO:0043190
PA4851_01415,P:GO:0008272
PA4851_01415,F:GO:0015116
PA4851_01415,F:GO:0015419
PA4851_01415,C:GO:0016020
PA4851_01415,C:GO:0016021
PA4851_01415,P:GO:0055085
PA4851_01420,P:GO:0008272
PA4851_01420,F:GO:0015116
PA4851_01420,F:GO:0015419
PA4851_01420,C:GO:0016020
PA4851_01420,C:GO:0016021
PA4851_01420,P:GO:0055085
PA4851_01425,P:GO:0008272
PA4851_01425,F:GO:0015419
PA4851_01430,no GO terms
PA4851_01435,F:GO:0000155
PA4851_01435,P:GO:0000160
PA4851_01435,F:GO:0005515
PA4851_01435,P:GO:0006355
PA4851_01440,P:GO:0006629
PA4851_01440,F:GO:0016717
PA4851_01440,P:GO:0055114
PA4851_01445,C:GO:0016020
PA4851_01445,F:GO:0022857
PA4851_01445,P:GO:0055085
PA4851_01450,F:GO:0046872
PA4851_01455,F:GO:0003700
PA4851_01455,P:GO:0006355
PA4851_01460,F:GO:0000155
PA4851_01460,P:GO:0000160
PA4851_01460,F:GO:0005515
PA4851_01465,C:GO:0016021
PA4851_01470,F:GO:0004668
PA4851_01470,P:GO:0009446
PA4851_01470,F:GO:0047632
PA4851_01475,P:GO:0006596
PA4851_01475,P:GO:0006807
PA4851_01475,F:GO:0050126
PA4851_01480,F:GO:0003677
PA4851_01485,P:GO:0015846
PA4851_01485,F:GO:0019808
PA4851_01485,C:GO:0042597
PA4851_01490,F:GO:0003824
PA4851_01490,F:GO:0004356
PA4851_01490,P:GO:0006542
PA4851_01490,P:GO:0006807
PA4851_01495,F:GO:0016787
PA4851_01500,F:GO:0003824
PA4851_01500,F:GO:0004356
PA4851_01500,P:GO:0006542
PA4851_01500,P:GO:0006807
PA4851_01505,F:GO:0003824
PA4851_01505,F:GO:0008483
PA4851_01505,F:GO:0030170
PA4851_01510,P:GO:0015846
PA4851_01510,F:GO:0019808
PA4851_01510,C:GO:0042597
PA4851_01515,P:GO:0015846
PA4851_01515,F:GO:0019808
PA4851_01515,C:GO:0042597
PA4851_01520,F:GO:0005524
PA4851_01520,F:GO:0015417
PA4851_01520,P:GO:0015846
PA4851_01520,F:GO:0016887
PA4851_01520,F:GO:0022857
PA4851_01520,C:GO:0043190
PA4851_01520,P:GO:0055085
PA4851_01525,C:GO:0016020
PA4851_01525,P:GO:0055085
PA4851_01530,C:GO:0016020
PA4851_01530,P:GO:0055085
PA4851_01535,F:GO:0016787
PA4851_01535,F:GO:0016811
PA4851_01535,P:GO:0017000
PA4851_01540,no GO terms
PA4851_01545,no GO terms
PA4851_01550,no GO terms
PA4851_01555,no IPS match
PA4851_01560,F:GO:0005506
PA4851_01560,F:GO:0016491
PA4851_01560,F:GO:0016705
PA4851_01560,F:GO:0031418
PA4851_01560,P:GO:0055114
PA4851_01565,no IPS match
PA4851_01570,no GO terms
PA4851_01575,C:GO:0016020
PA4851_01575,C:GO:0016021
PA4851_01575,F:GO:0022857
PA4851_01575,C:GO:0043190
PA4851_01575,P:GO:0055085
PA4851_01575,P:GO:0071705
PA4851_01580,no GO terms
PA4851_01585,no GO terms
PA4851_01590,F:GO:0004617
PA4851_01590,P:GO:0006564
PA4851_01590,F:GO:0016616
PA4851_01590,F:GO:0051287
PA4851_01590,P:GO:0055114
PA4851_01595,F:GO:0003824
PA4851_01595,F:GO:0016491
PA4851_01595,F:GO:0050660
PA4851_01595,P:GO:0055114
PA4851_01595,F:GO:0071949
PA4851_01600,F:GO:0003824
PA4851_01605,no GO terms
PA4851_01610,no GO terms
PA4851_01615,no GO terms
PA4851_01620,C:GO:0016020
PA4851_01620,F:GO:0022857
PA4851_01620,P:GO:0055085
PA4851_01625,P:GO:0015846
PA4851_01625,F:GO:0019808
PA4851_01625,C:GO:0042597
PA4851_01630,C:GO:0016020
PA4851_01630,P:GO:0055085
PA4851_01635,C:GO:0016020
PA4851_01635,P:GO:0055085
PA4851_01640,F:GO:0005524
PA4851_01640,F:GO:0015417
PA4851_01640,P:GO:0015846
PA4851_01640,F:GO:0016887
PA4851_01640,F:GO:0022857
PA4851_01640,C:GO:0043190
PA4851_01640,P:GO:0055085
PA4851_01645,no GO terms
PA4851_01650,C:GO:0019867
PA4851_01655,no GO terms
PA4851_01660,F:GO:0004751
PA4851_01660,P:GO:0009052
PA4851_01665,F:GO:0004794
PA4851_01665,P:GO:0009097
PA4851_01670,no GO terms
PA4851_01675,F:GO:0003824
